question,q_len_chars,q_len_words,q_wh_type
How many counters does each player have in a game of backgammon?,64,12,quantity
How many tiles are there in a standard Mah Jong set?,52,11,quantity
In what year was the Battle of Little Bighorn?,46,9,year
How many public companies comprise the Dow Jones Index?,55,9,quantity
In which year in the 20th Century were there three Popes?,57,11,which
In which year did Yuri Gagarin become the first man in space?,61,12,which
In which year did Mussolini seize power in Italy and the Irish Free State become established?,93,16,which
In which year was Gandhi assassinated and the state of Israel set up?,69,13,which
In which year was the Prime Minister Spencer Percival shot on entering the House of Commons?,92,16,which
In which year did 617 Squadron's Dambusters Raid take place?,60,10,which
In which year was the first London Marathon?,44,8,which
"The Berlin Wall was breached in 1989, for how many complete years had it stood?",79,15,quantity
In which year was the Peterloo Massacre?,40,7,which
In which year were the Gordon Riots?,36,7,which
The Easter Rising against British rule in Ireland took place in which year?,75,13,which
In what year did Doctor Who start on television?,48,9,year
How many pairs of chromosomes does a human have?,48,9,quantity
How many days is the gestation period of a domestic dog (5 days either way?,75,15,quantity
In which year did the Boston Tea Party take place?,50,10,which
How many days is the gestation period of a domestic cat (5 days either way)?,76,15,quantity
How many sides has a dodecagon?,31,6,quantity
In which year was the General Strike?,37,7,which
How many squares make up a standard Sudoku grid?,48,9,quantity
In which year was Britain's currency decimalised?,49,7,which
How many squares are visible on a standard Rubik Cube?,54,10,quantity
"Lord Lucan and John Stonehouse disappeared in the same year, which?",67,11,which
In which year were British women granted full voting rights?,60,10,which
"In which year did the Easter Rising, against British rule in Ireland, take place?",81,14,which
What is the largest number on a standard backgammon doubling dice?,66,11,what
"Name the year in which Freddie Mercury died, hostage Terry Waite was released and No. 10 Downing Street was mortar bombed?",122,21,which
"In computing, how many bytes are there in a kilobyte?",53,10,quantity
How many chromosomes are there in the female sex cell?,54,10,quantity
In which year was the Battle of Trafalgar?,42,8,which
In which year was the Battle of Agincourt?,42,8,which
In which year were women given the vote in the USA?,51,11,which
In which year was NATO founded?,31,6,which
In which year was the International Garden Festival held in Liverpool?,70,11,which
Which year saw the culmination and end of the Cuban Missile Crisis?,67,12,which
"To within one year either way, in which year was Pluto discovered by Clyde Tombaugh?",84,15,which
"To within one year either way, when was the Sydney Opera House formally opened by Queen Elizabeth II?",101,18,when
The summer Olympic Games were held in Los Angeles in 1984 and in which other year?,82,16,which
When did the Chinese leader Mao Tse Tung die?,45,9,year
"In Benny Hill's 1971 hit, how old was 'Ernie, The Fastest Milkman in the West'?",79,15,age
In which year was the Piper Alpha oil rig disaster?,51,10,which
In which year was the Hungerford massacre?,42,7,which
How many players are there in a Gaelic Football team?,53,10,quantity
Which number president of the USA was George W Bush?,52,10,which
In which year was NATO formed?,30,6,which
In which year was Mahatma Gandhi assassinated?,46,7,which
How many chromosomes does a normal human have?,46,8,quantity
How many stars make up the European Union flag?,47,9,quantity
"Which cologne, created in 1792, was named after the street number of the building in Glockengasse, Cologne where it was created?",128,21,where
In which year was the 20p coin introduced and the word 'new' dropped from all newly minted coins in Britain?,108,20,which
"To within a year, when were proceedings of the House of Commons first regularly broadcast on TV?",96,17,when
In which year of the 1960s did Sandie Shaw have a number one hit with 'Puppet on a String' and Procol Harum with 'Whiter Shade of Pale'?,136,27,which
How many chains are there in one mile?,38,8,quantity
In which year did the Berlin Wall come down?,44,9,which
What is the minimum age of the President of the USA?,52,11,what
How many legs has a lobster?,28,6,quantity
In which year did the 'Jet Age' become the 'Space Age'?,55,11,which
How many fences are jumped in completing the Grand National?,60,10,quantity
"""How many contestants are there in Channel 4's TV game show, """"Deal or No Deal""""?""",82,15,quantity
Which is the lowest prime number greater than 50?,49,9,which
In which year was the M1 Motorway opened?,41,8,which
How many points make 'game' in rubber bridge?,45,8,quantity
In which year did Queen Elizabeth the Queen Mother die?,55,10,which
What number Pennsylvania Avenue is the address of the White House?,66,11,what
"""What year did the Queen describe as her """"annus horribilis""""?""",63,10,year
What is the highest number on the Beaufort scale of wind measurement?,69,12,what
How many pairs of ribs are in the human body?,45,10,quantity
In cricket what score is known as 'Nelson'?,43,8,what
What is the highest number that is a common factor (HCF) of 32 and 48?,70,15,what
What year saw the abolition of the death penalty for murder in Britain?,71,13,year
In which year did Rudolf Nureyev defect to the West?,52,10,which
In which year was the General Strike in Britain?,48,9,which
In which year was construction of the Berlin Wall started?,58,10,which
In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,81,16,which
In which year was the first English FA cup final held?,54,11,which
How many days are there in the religious period of Lent?,56,11,quantity
In which year was the dwarf planet Pluto discovered?,52,9,which
"In which year was the Battle of Edgehill, the first battle of the English Civil War?",84,16,which
How many chromosomes are in a human body cell?,46,9,quantity
In which year was the Easter Uprising in Ireland?,49,9,which
"In which year did the following events all take place; Church of England ordained its first female priests, the Channel Tunnel opened and the National Lottery started?",167,27,which
"In which year did the following events all take place; Ken Livingstone became the Mayor of London, England lost 1-0 to Germany in the last match at the old Wembley Stadium and Judith Keppel won the first £1,000,000 on 'Who Wants to be a Millionaire'?",250,45,who
In the game of backgammon with how many pieces does each player begin?,70,13,quantity
In chess how many different opening moves are there?,52,9,quantity
How many lines of poetry are in a sonnet?,41,9,quantity
"If Strasbourg is 68 and Montpellier is 34, then what number is Paris?",69,13,what
"If Germany is 49 and the United Kingdom is 44, then what number is France?",74,15,what
"""""""The Last Man In Europe"""" was the working title of which novel?""",66,12,which
What year did the Good Friday Agreement come into effect?,57,10,year
What year did the burning of the Reichstag take place?,54,10,year
"In the current series of car registration plates (2 letters, a 2 digit number then 3 letters), which was the first 2 digit number to be used?",141,27,which
In which year was the £1 note introduced; Burnley beat Liverpool 1-0 in the FA Cup Final; Archduke Ferdinand was assassinated?,126,21,which
In which year was the BBC granted a Royal Charter of Incorporation; Cardiff City beat Arsenal 1-0 at Wembley; Charles Lindbergh crossed the Atlantic Ocean?,155,25,which
How many Parliamentary constituencies are there in the UK?,58,9,quantity
In which year did Mozart die?,29,6,which
In which year did Beethoven die?,32,6,which
Name the year: Chernenko dies; the Achille Lauro is hi-jacked; a Japanese Air Lines 747 crashes killing 520 people.,115,19,other
"In contract rubber bridge, how many points are awarded for successfully making a non-vulnerable contract of four Spades?",120,18,quantity
How many cards are there in a Tarot pack?,41,9,quantity
In which year was the Battle of the Little Big Horn?,52,11,which
"To within 2 years each way, when did the first Crusade, launched by Urban II take place?",88,17,when
The Order of Merit is limited to how many members?,50,10,quantity
In what year did Harold Macmillan introduce Premium Bonds?,58,9,year
"In darts, which score is called 'bed and breakfast'?",52,9,which
"In which year did Lenin die, and Mallory and Irvine disappear on Mount Everest?",79,14,which
In which year did Frank Sinatra die after a long illness?,57,11,which
In which year was Nelson Mandela released from prison?,54,9,which
How many players in a women's lacrosse team?,44,8,quantity
In which year was the National Lottery started?,47,8,which
What is the pan-European emergency telephone number?,52,7,what
What number is dialled to hear the Speaking Clock?,50,9,what
In UK 999 is the emergency telephone number to contact the police etc. what is the European equivalent?,103,18,what
"In the Lotto Thunderball draw, you choose 1 Thunderball from how many?",70,12,quantity
In the Euro Millions draw you choose 2 lucky star numbers from how many?,72,14,quantity
In what year was the 50 pence piece introduced?,47,9,year
In what year was the pound coin introduced?,43,8,year
In what year did the 9/11 attacks in the USA take place?,56,12,year
In what year did the 7/7 attacks in London take place?,54,11,year
In which year did the Peterloo Massacre take place?,51,9,which
How many points are awarded to a driver for winning a Formula One Grand Prix?,77,15,quantity
How is the number 2 written when expressed as a binary number?,62,12,when
The Six-Day War took place in which year?,41,8,which
In which year did George the Fourth become king of the United Kingdom?,70,13,which
Which year was National Service abolished in the UK?,52,9,which
In which year did Elvis Presley get married?,44,8,which
In what year (5 years either way) was the British Open Golf Championship first held?,84,15,year
In what year (5 years either way) was the US Open Golf Championship first held?,79,15,year
In what year did Yasir Arafat die?,34,7,year
How many test centuries did Don Bradman score?,46,8,quantity
In which year between the World Wars did Britain go off the Gold Standard?,74,14,which
In which year did Dr Who first appear on our television screens played by William Hartnell?,91,16,who
In which year did the pound note cease to be legal tender in England?,69,14,which
In what year did the farthing cease to be legal tender in England?,66,13,year
How many years are there in a Platinum Anniversary?,51,9,age
"What number is on the film star Beetle car, Herbie?",51,10,what
How old was the Queen Mother when she died in March 2002?,57,12,age
How many spoons are there in a full set of Apostle spoons?,58,12,quantity
A standard (Double 6) set of Dominoes contains how many dominoes?,65,11,quantity
How many astronauts have walked on the Moon?,44,8,quantity
"To within 1 year either side, in which year did the half crown cease to be legal tender in the U",96,21,which
To within 1 year either side - in which year did the sixpence cease to be legal tender in the UK?,97,21,which
In what year was the old age pension introduced in the UK?,58,12,year
"To within 1 year either side, in what year did the UK first win the Eurovision Song Contest?",92,18,year
"""To within a year, either way, in which year was """"The Sky at Night"""" first broadcast on TV?""",93,18,which
"In which year in the 1950'S did the UK Top 20 see hits like 'Volare' by Dean Martin, 'Stupid Cupid' by Connie Francis and 'Hello my Darlings' by Charlie Drake?",159,30,which
Within a year either way when was the radio programme 'The Archers' first broadcast throughout the UK?,102,17,when
To within 10 how many stations are served by the London Underground?,68,12,quantity
"Name the year; Minimum wage introduced (£3.60 for over 21s), Prince Edward married Sophie Rhys-Jones, total eclipse of the sun in Cornwall?",139,22,other
State of Israel is proclaimed.,30,5,other
"Treaty of Rome signed, establishing the EEC.",44,7,other
Fall of the Berlin Wall.,24,5,other
In which year did the Battle of Vitoria take place during the Peninsular War?,77,14,which
What is the maximum number of letters and spaces that can be in the name of a racehorse?,88,18,what
In which year was Marie Antoinette executed?,44,7,which
In which year was the first bikini worn in Britain?,51,10,which
In which year did Queen Elizabeth make her first Christmas speech?,66,11,which
How many naturally-occurring elements are there in the periodic table?,70,10,quantity
How old was Elvis Presley when he died in 1977?,47,10,age
How old was Jimi Hendrix when he died in 1970?,46,10,age
In which year was the Lusitania sunk?,37,7,which
"Name the year; the Profumo Affair, first female astronaut and first limited overs cricket final at Lords.",105,17,other
"Name the year; first nuclear power station opened at Calder Hall, Nasser elected President of Egypt, Devon Loch falls at the end of the Grand National?",151,26,other
What is the maximum number of characters in a single SMS (text) message?,72,13,what
How-many possible moves can be chosen from to start a game of chess?,68,13,other
In which year was the Battle of Quebec (where the Heights of Abraham were scaled)?,82,15,where
In which year was the Battle of Balaclava (including the Charge of the Light Brigade)?,86,15,which
How many 'syllables' should a Japanese Haiku poem contain?,58,9,quantity
What is the maximum possible score in a game of ten pin bowling?,64,13,what
In what year did Concorde commence commercial service?,54,8,year
How many years of marriage are celebrated on your Sapphire anniversary?,71,11,age
In what year was decimal coinage introduced in the UK?,54,10,year
In what year did the Relief of Mafeking take place during the Boer War?,71,14,year
In which year did Sir Francis Drake defeat the Spanish Armada?,62,11,which
"In which year did China resume sovereignty over Hong Kong, Princess Diana die and Tony Blair become Prime Minister?",115,19,which
"In which year did Saigon fall to end the Vietnam War, Margaret Thatcher become leader of the Conservative Party and General Franco die?",135,23,which
The first space satellite 'Sputnik' was launched in which year?,63,10,which
The first commercial Concorde flight from Paris to Rio de Janeiro took place in which year?,91,16,which
How many days are there in Lent?,32,7,quantity
"Within one year either way, in what year was the Girl Guides Association formed?",80,14,year
"Within one year either way, in which year did the composer Rachmaninov and the actor Leslie Howard die?",103,18,which
How many points does it take to win a game of table tennis?,59,13,quantity
In which year did Elvis Presley die?,36,7,which
"To within a year, when did Tom Watson win his last Open Championship?",69,13,when
In which year was HRH Prince Harry born; the first Apple Macintosh went on sale; the UK coal industry strike began?,115,21,which
Name the year: The Wall Street Crash; Italy and the Vatican signed the Lateran Treaty; Herbert Hoover inaugurated as 31st president of America,142,23,other
What cricket score is nicknamed 'Nelson'?,41,6,what
How many fluid ounces are there in an American pint?,52,10,quantity
Apart from 1966 when was the only other year when England reached the semi-final of the FIFA world Cup?,103,19,when
"In which year did the following events occur; Helen Sharman became the first Briton in space, Tim Berners-Lee established the first website and Robert Maxwell died?",164,26,which
"""The-new Boeing """"Dreamliner"""" aircraft has which numerical designation?""",73,8,which
"The Lusitania was sunk, with much loss of life, on May 7th of which year?",73,15,which
"Michael Phelps has won 22 Olympic medals, more than any other person, how many of these were Gold?",98,18,quantity
The airship Hindenburg caught fire and was destroyed on May 6th of which year?,78,14,which
"How long, in feet, is a tennis court?",37,8,quantity
"In which year did two jumbo jets collide at Tenerife airport, killing 583 people?",81,14,which
In which year was the fifty pence piece first issued?,53,10,which
In which year was the Panama Canal opened?,42,8,which
Juries in criminal cases in Scotland uniquely consist of how many members?,74,12,quantity
"In which year did the First Battle of St Albans, the first battle of the Wars of the Roses, take place?",103,21,which
In which year were both the Chernobyl and Challenger Shuttle disasters?,71,11,which
In what year was the Russian submarine Kursk sunk and the USS Cole attacked in Aden?,84,16,year
In which year did the Space Shuttle Challenger crash?,53,9,which
In which year of WWI did allied forces land at Gallipoli?,57,11,which
In which year was the M25 opened by Margaret Thatcher?,54,10,which
In what year did the Jarrow Crusade take place?,47,9,year
In what year was the first British Census undertaken?,53,9,year
In what year did Britain have a Labour government for the first time?,69,13,year
how many medals did GB win in the 2012 Olympics?,48,10,quantity
"""In what year did Enoch Powell make his famous """"rivers of blood"""" speech?""",75,13,year
How many points are given to a driver for winning a Formula One Grand Prix?,75,15,quantity
How many points are awarded to the driver for second place in a Formula One Grand Prix?,87,17,quantity
"To within a year either way, in which year did the Mallard reach 126mph - a record for a steam loco?",100,21,which
In which year did Michael Owen leave Liverpool FC to move to Real Madrid?,73,14,which
"Name the year that Terry Waite was kidnapped in Beirut, and the 'Herald of Free Enterpise' capsized off the coast near Zeebrugge?",129,22,other
In what year was the Central London Traffic Congestion Charge introduced?,73,11,year
After how many years is a Ruby wedding anniversary celebrated?,62,10,age
"In which year was the Bhopal disaster at the Union Carbide India Ltd. pesticide plant, the privatisation of British Telecom and the Queen opened the Thames Flood barrier?",170,28,which
In what year did the Battle of Evesham take place in Britain?,61,12,year
In which year was the Palestine Liberation Organisation formed?,63,9,which
In what year did Finland become a member of the EU?,51,11,year
In which year was the Black Panther Party founded?,50,9,which
In what year did Cyprus become a member of the EU?,50,11,year
6 and 28 are perfect numbers. What is the next perfect number in the sequence?,78,15,what
The SDP (Social Democratic Party) was formed in which year?,59,10,which
Watson and Crick discovered DNA in what year?,45,8,year
In which year did all four of the home nations qualify for the football world cup?,82,16,which
In which year did Charles Lindbergh make the first solo flight across the Atlantic?,83,14,which
How many fluid ounces in a UK pint?,35,8,quantity
Name the year: Winter Olympics held in Innsbruck; The Beatles appear on the Ed Sullivan Show; Radio Caroline first broadcast .,126,21,other
What is the minimum age for male golfers on the European Seniors tour?,70,13,what
In what year of WW2 was the German battleship 'Bismarck' sunk?,62,11,year
In what year of WW2 did the German forces surrender at Stalingrad?,66,12,year
"Six is the first 'Perfect Number', i.e. a number that is the sum of all of its factors (excluding itself), which is the second?",127,24,which
"Which year saw the opening of the Thames flood barrier, the launch of the Hubble telescope and Indira Ghandi's assassination?",125,20,which
"Which year saw the televising of Parliament for the first time, the Romanian civil war resulting in the deaths of the Ceaucescus and the opening of the Berlin Wall?",164,29,which
How many years were between the Gunpowder Plot and the Battle of Trafalgar?,75,13,age
How many Gold Medals did the Great British team win at the 2012 Summer Olympics?,80,15,quantity
What is the maximum score possible in a game of ten pin bowling?,64,13,what
In which year were both the Queen and Marilyn Monroe born?,58,11,which
In what year was the first Battle of St. Albans?,48,10,year
In what year was there a vote in the UK on the issue of leaving the then Common Market?,87,19,year
In what year was Queen Elizabeth II born?,41,8,year
The Japanese poetry form known as a Haiku consists of how many syllables?,73,13,quantity
In which year did the National Lottery start in the UK?,55,11,which
"Name the year: The Maastricht Treaty is signed, riots in Los Angeles following the beating of Rodney King by police officers, Denmark wins the UEFA European Football Championships.",180,28,other
In which year were the FIFA World Cup Soccer Finals held in Chile?,66,13,which
"Name the year: the Winter Olympics are held in Sarajevo, Space shuttle Discovery makes its maiden voyage, Fernando Torres is born.",130,21,other
How many countries are there in OPEC?,37,7,quantity
In which year did the UK last win the Eurovision Song Contest with Katrina and the Waves' Love Shine a Light?,109,21,which
In which year did the UK first win the Eurovision Song Contest with Sandi Shaw's Puppet on a String?,100,19,which
In what year did Winston Churchill become Prime Minister for the first time?,76,13,year
"In which year was Facebook launched, George Bush defeated John Kerry in the US Presidential Election and Maria Sharapova won Wimbledon?",135,21,which
"In which year was Dolly the sheep born, Martina Hingis won Wimbledon, and Bill Clinton defeated Bob Dole in the US presidential election?",137,23,which
The bodies of murdered schoolgirls Holly Wells and Jessica Chapman from Soham were discovered in which year?,108,17,which
"To within three years, in which year was the Metropolitan Police Act passed, forming the first official police force?",117,19,which
Name the year Russia shoots down U2 spy plane; France becomes the world's 4th nuclear power and Adolf Eichmann is captured by the Israelis in Buenos Aires.,155,27,other
"Name the year: the U.S. Draft Board refuses Muhammed Ali's exemption, the Boston Strangler is sentenced to life imprisonment and three astronauts perish in the Apollo I fire.",174,28,other
"According to the 1975 hit Paul Simon song, how many different ways are there to leave your lover?",97,18,quantity
In which year was the Aberfan Disaster?,39,7,which
In which year did Richard Nixon resign as US President?,55,10,which
How many gallons of beer are in an English barrel?,50,10,quantity
How many gallons of beer are in an English hogshead?,52,10,quantity
In which year did Sigmund Freud die?,36,7,which
In what year was the Berlin Wall erected?,41,8,year
In 1918 the right to vote was granted to British women over what age?,69,14,what
How many seats do the SNP have in Parliament?,45,9,quantity
"To within a year either side, in which year was the congestion charge introduced in London?",91,16,which
During the 2 circuits of the Grand National course at Aintree how many jumps are taken by those horses completing the race?,123,22,quantity
In which year was the Channel Tunnel opened?,44,8,which
In what year were British Coal Mines nationalised?,50,8,year
In which year were the Liberal Democrats formed?,48,8,which
In which year was Breakfast TV first broadcast on the BBC?,58,11,which
"Name the year in which Gladiator won the Best Picture Oscar, George W Bush was sworn in as US President and Dennis Tito became the first space tourist?",151,28,which
In a standard game of backgammon with how many playing pieces does each player start the game?,94,17,quantity
In a standard game of draughts with how many playing pieces does each player start the game?,92,17,quantity
How many chapters or sutras are there in the Koran?,51,10,quantity
In old measures how many chains made a furlong?,47,9,quantity
What is the maximum letters or spaces permitted in a racehorse's name?,70,12,what
"How old were Cass Elliott, Karen Carpenter and Keith Moon when they died?",73,13,age
In which year did the Queen marry the Duke of Edinburgh?,56,11,which
In which year did Mrs Bandaranaike become Prime Minister of Ceylon?,67,11,which
How many faces has a dodecahedron?,34,6,quantity
Which is the only prime number between 90 and 100?,50,10,which
"To within a year either way, how old was Mickey Rooney when he died in April 2014?",82,17,age
To within one year either way how old was Joan Rivers when she died in September 2014?,86,17,age
"In which year did all the following events occur: Tunguska explosion in Siberia, First Model T Ford produced, 2-year-old Pu Yi becomes Emperor in China and the Summer Olympics first held in London?",197,33,which
In what year were the cave paintings at Lascaux discovered?,59,10,year
"Name the year- The Winter Olympics staged in Grenoble, France; Martin Luther King, Jr. is shot dead in Memphis, Tn; The ?I?m Backing Britain? campaign endorsed by Harold Wilson.",177,29,other
How many years are there between Preston Guilds?,48,8,age
"In which year did the following occur: formation of the Football Association, opening of the Metropolitan Railway in London and the wedding of Edward, Prince of Wales to Princess Alexandra of Denmark?",200,32,which
"In which year did the following occur: first cricket test match, first Wimbledon tennis championships and the University boat race is uniquely a dead heat?",155,25,which
in what year where the Summer Olympic Games hosted in Montreal?,63,11,year
In what year where the Summer Olympic Games hosted in Melbourne?,64,11,year
In which year did traffic wardens first appear on the streets of London?,72,13,which
In what year was the CIA founded?,33,7,year
In which year were Nobel Prizes first awarded,45,8,which
In which year did General Franco die?,37,7,which
"In the 1976 sci-fi film “Logan’s Run”, at what age are people killed off to prevent over population?",100,18,what
In what year did Indian troops storm the Golden Temple at Amritsar and Soviet Premier Yuri Andropov die?,104,18,year
"To the nearest 5000, what is the crowd capacity of the new Wembley Stadium?",75,14,what
"To the nearest 1000, what is the crowd capacity on Centre Court at Wimbiedon?",77,14,what
How many threepenny bits were in a pound?,41,8,quantity
In what year was the Cuban missile crisis?,42,8,year
What is the largest prime number less than 100?,47,9,what
In what year was the Suez crisis?,33,7,year
In what year where the Summer Olympic Games hosted in Munich?,61,11,year
How many senators are there in the US Senate?,45,9,quantity
in which year was the Duke of Marlborough victorious at the Battle of Blenheim?,79,14,which
How many cards are used in the card game Bezique?,49,10,quantity
Despite its name how many bytes are actually in a kilobyte?,59,11,quantity
"Within one year either way, in what year were Concorde planes retired from service?",83,14,year
"Within one year either way, in what year did the Channel Tunnel first open for business to fee-paying passengers?",113,19,year
"How many letter tiles, including the blanks, are there in a game of Scrabble?",77,14,quantity
"""In what year did """"Rocky"""" win the Best Picture Oscar, Apple II computer go on sale and Jimmy Carter was sworn in as US President?""",132,25,year
"In what year did 'Terms of Endearment win the Best Picture Oscar, the Macintosh computer is released by Apple and Indian Prime Minister Indira Gandhi is assassinated?",166,27,year
The first Consulate of the United States in the world opened in Liverpool in which year (allow 5 either way)?,109,20,which
How many viewing capsules are there on the London Eye?,54,10,quantity
Which was the first year the World Cup was televised in colour?,63,12,which
In which year did Louis Bleriot become the fist man to cross the English Channel in an heavier than air craft?,110,21,which
In which year did the Channel Tunnel open?,42,8,which
How many stars are there on the EU flag?,40,9,quantity
In what year did the United Kingdom National Lottery begin?,59,10,year
In which year was the Great Train Robbery in Buckinghamshire?,61,10,which
What is the title of the landmark television commercial that launched the Apple Macintosh in the US in January 1984?,116,20,what
"As numerous countries gained their independence in that year, which year in the second half of the 20th century is known as the 'Year of Africa'?",145,26,which
"Ephialtes of Trachis was the traitor who showed the Persian forces a trail around the allied Greek position at the pass of Thermopylae, which helped them win the Battle of Thermopylae in 480 BC. He was portrayed as a severely deformed man in which blood-soaked 2007 movie?",272,47,who
In which year did Burges and Maclean defect?,44,8,which
How many 'Red Balloons' did Nena sing about in 1983?,52,10,quantity
"Name the year Idi Amin seize power in Uganda, barriers collapsed at Ibrox stadium killing 66 people and Joe Frazier beats Muhammed Ali on points?",145,25,other
How many gallons are there in a hogshead?,41,8,quantity
"There have been three different years in which England has had three kings, 1066 and 1936 are two of them, what is the third?",125,24,which
"In which year did the Ayatollah Khomeini die, American troops remove Noriega in Panama, and Alain Prost become World Motor Racing Champion for the third time?",158,26,which
"In which year did the Bosnian Civil War begin, Steffi Graf win the Ladies Singles title at Wimbledon for the seventh time, and TWA become bankrupt?",147,26,which
In which year did Victoria become Queen?,40,7,which
In which year of the 1960's was the 'Six Day War'?,50,11,which
In which year of the 1970's was the 'Yom Kippur War'?,53,11,which
In which year was the English Football League founded?,54,9,which
In which year was the English Football Association founded?,59,9,which
In which year did Mother Theresa of Calcutta win the Nobel Peace Prize?,71,13,which
In what year was Monica Seles stabbed in the back during a tennis tournament in Hamburg?,88,16,year
In what year did Freddie Starr's horse 'Minnehoma' win the Grand national?,74,12,year
"In which year was Benigno Aquino murdered, the USSR shoot down a Boeing 747 off Sakhalin Island, and America land troops in Grenada?",132,23,which
"In which year did the 'Easter Rising' in Dublin begin on Easter Monday, April 24th?",83,15,which
In which year was the Prince of Wales born?,43,9,which
How many players are there on a Shinty team?,44,9,quantity
How many MP's are there in the House of Commons?,48,10,quantity
"In which year did France withdraw from NATO, and Indira Ghandi become Prime Minister of India?",94,16,which
"Which year saw Castro create the communist state of Cuba, and Makarios elected President of the newly independent Cyprus?",121,19,which
How many hurdles are there in a 400 metres hurdle race?,55,11,quantity
In which year was the 'Achille Lauro' cruise ship hijacked by the P.L.F.?,73,13,which
In what year were congestion charges introduced into London?,60,9,year
"According to Genesis,how old was Methuselah when he died (within 10 years)?",75,12,age
"According to Genesis, howold was Noah when he died (within 10 years)?",69,12,when
What is the sum of the interior angles of a pentagon?,53,11,what
"Al Martino's 'Here In My Heart' was the first ever UK number one single, but in which year?",91,18,which
How many tiles are there in a game of 'Scrabble'?,49,10,quantity
"What temperature, in degrees centigrade, is Absolute Zero?",58,8,what
How many laps are there in the Indianapolis 500 motor race?,59,11,quantity
In which year of the First World War was the Battle of Verdun?,62,13,which
In which year did Josef Stalin die?,35,7,which
In which year did Sir Anthony Eden resign as Prime Minister?,60,11,which
In which year was 'Oxfam' founded?,34,6,which
Name the year: SAS stormed the Iranian Embassy in London; Ronald Reagan was elected President and Rhodesia gained independence?,127,19,other
The £1.00 note ceased to be legal tender in which year?,55,11,which
"In which year was the Euro introduced, the film 'Saving Private Ryan' appear, and President Clinton accused of perjury?",119,19,which
"In which year did John Charles, Princess Juliana, Peter Ustinov and Yasser Arafat die?",86,14,which
How many points are required to win a standard game of cribbage?,64,12,quantity
In March of what year was Robert Mugabe elected Prime Minister of Zimbabwe?,75,13,year
In November of what year did Spanish dictator General Franco die?,65,11,year
Which year of the 19th.century was called 'The Year of Revolutions'?,68,11,which
Which year of the 18th century was called 'The Year of Victories'?,66,12,which
"Which year saw the end of the Korean War, the death of Josef Stalin and the first televised Academy Awards Ceremony?",116,21,which
"Which year saw the resignation of John Profumo, the Great Train Robbery and the assassination of John F. Kennedy?",113,19,which
In which year on June 14th was the Battle of Naseby?,52,11,which
In which year on June 14th was the Battle of Marengo?,53,11,which
How many people sit on a jury in Scotland?,42,9,quantity
At noon on December 31st in which year did Panama gain full control of the Panama Canal?,88,17,which
"""How many characters are there in the """"Cyrillic Alphabet?""",59,9,quantity
"Name the year: Nelson Mandela is sworn in as South African President, Tony Blair becomes new leader of the Labour Party and Martina Navratilova is defeated in her last Wimbledon singles final by Conchita Martinez?",213,35,other
"Name the year: Chilean President Savador Allende is killed in a coup, the Yom Kippur war erupts in the middle-east and Morston wins The Derby at 25-1?",150,27,other
In which year did Freddie Mercury die of AIDS?,46,9,which
How many bonus points does a 'Scrabble' player receive when playing all seven of his tiles in a single turn,107,20,quantity
In which year did the London Evening News merge into the Evening Standard?,74,13,which
"In which year did the 'Torrey Canyon' sink, Donald Campbell was killed and the 'Colonels' seized power in Greece?",113,19,which
"""In which year was the 'Great Train Robbery' the 'Profumo Affair' hit the headlines and Martin Luther King made his """"I have a dream"""" speech?""",143,25,which
What will be the middle two numbers of a car registered in September 2010?,74,14,what
In which year did Princess Margaret die?,40,7,which
Which year was called 'The Year Of Revolutions'?,48,8,which
In which year did actor Sid James die?,38,8,which
Name the year – James Callaghan becomes PM; Britain and Iceland end the C od War; 21st Olympic Games begin in Montreal.,119,22,other
Name the year: Yasser Arafat new leader of the PLO; Dwight D Eisenhower dies; US Mariner 6 spacecraft launched to Mars.,119,21,other
"In what year was the League Of Nations, formed?",47,9,year
In what year did the League Of Nations become the United Nations?,65,12,year
In which year was HRH Prince Charles invested as Prince of Wales?,65,12,which
Name the year: Valentina Tereshkova first woman in space; the Great Train Robbery took place; John Profumo resigned?,116,18,other
Name the year- The Beatles awarded the MBE; Winston Churchill died?,67,11,other
In which year was the first FA Cup Final played at Wembley?,59,12,which
How many psalms are there in the Bible?,39,8,quantity
What is the atomic number of the element ununpentium?,53,9,what
In which year did William Hague become leader of the Conservative Party?,72,12,which
In what year did Tony Blair become leader of the Labour Party?,62,12,year
In which year was the breathalyser introduced into Britain?,59,9,which
In which year were MOT tests introduced into Britain?,53,9,which
In which year did Hurricane Katrina strike New Orleans?,55,9,which
Which year of the twentieth century is known as the Year of the Three Popes?,76,15,which
How many keys are there on a standard piano keyboard?,53,10,quantity
"In which year was the 'Mary Rose' raised, the Pope visited Britain for the first time, and Princess Grace of Monaco killed in a car crash?",138,26,which
"King Hussein of Jordan dies, Chinese embassy in Belgrade bombed by NATO planes, and Prince Edward marries. Which year?",118,19,which
In which year did the American Civil War begin?,47,9,which
How many Psalms are there in the Old Testament.,47,9,quantity
In which year did James Callaghan become Prime Minister?,56,9,which
In which year did Lancashire last win the Cricket County Championship outright?,79,12,which
How many players are there on each side in a game of Australian Rules Football?,79,15,quantity
In which year was 'The Boston Tea Party'?,41,8,which
The 'Charge of the Light Brigade' took place in which year?,59,11,which
In which year was the Mutiny on the Bounty?,43,9,which
